State,Minimum WBA,Maximum WBA,Year
WY,$32 ,$444 ,2012
AK,$56 ,$370 ,2013
AL,$45 ,$265 ,2013
AR,$81 ,$451 ,2013
AZ,$122 ,$240 ,2013
CA,$40 ,$450 ,2013
CO,$25 ,$466 ,2013
CT,$15 ,$591 ,2013
DC,$50 ,$359 ,2013
DE,$20 ,$330 ,2013
FL,$32 ,$275 ,2013
GA,$44 ,$330 ,2013
HI,$5 ,$534 ,2013
IA,$59 ,$396 ,2013
ID,$72 ,$357 ,2013
IL,$51 ,$413 ,2013
IN,$37 ,$390 ,2013
KS,$114 ,$456 ,2013
KY,$39 ,$415 ,2013
LA,$10 ,$247 ,2013
MA,$33 ,$674 ,2013
MD,$50 ,$430 ,2013
ME,$65 ,$372 ,2013
MI,$117 ,$362 ,2013
MN,$24 ,$393 ,2013
MO,$35 ,$320 ,2013
MS,$30 ,$235 ,2013
MT,$127 ,$446 ,2013
NC,$46 ,$535 ,2013
ND,$43 ,$516 ,2013
NE,$70 ,$362 ,2013
NH,$32 ,$427 ,2013
NJ,$87 ,$624 ,2013
NM,$76 ,$407 ,2013
NV,$16 ,$402 ,2013
NY,$64 ,$405 ,2013
OH,$115 ,$413 ,2013
OK,$16 ,$386 ,2013
OR,$122 ,$524 ,2013
PA,$70 ,$573 ,2013
PR,$7 ,$133 ,2013
RI,$45 ,$566 ,2013
SC,$42 ,$326 ,2013
SD,$28 ,$333 ,2013
TN,$30 ,$275 ,2013
TX,$62 ,$440 ,2013
UT,$26 ,$479 ,2013
VA,$54 ,$378 ,2013
VI,$33 ,$491 ,2013
VT,$69 ,$425 ,2013
WA,$143 ,$604 ,2013
WI,$54 ,$363 ,2013
WV,$24 ,$424 ,2013
WY,$33 ,$459 ,2013
AK,$56 ,$370 ,2014
AL,$45 ,$265 ,2014
AR,$81 ,$451 ,2014
AZ,$123 ,$240 ,2014
CA,$40 ,$450 ,2014
CO,$25 ,$481 ,2014
CT,$15 ,$590 ,2014
DC,$50 ,$359 ,2014
DE,$20 ,$330 ,2014
FL,$32 ,$275 ,2014
GA,$44 ,$330 ,2014
HI,$5 ,$544 ,2014
IA,$60 ,$408 ,2014
ID,$72 ,$383 ,2014
IL,$51 ,$418 ,2014
IN,$37 ,$390 ,2014
KS,$117 ,$469 ,2014
KY,$39 ,$415 ,2014
LA,$10 ,$247 ,2014
MA,$33 ,$679 ,2014
MD,$50 ,$430 ,2014
ME,$66 ,$378 ,2014
MI,$117 ,$362 ,2014
MN,$25 ,$405 ,2014
MO,$35 ,$320 ,2014
MS,$30 ,$235 ,2014
MT,$132 ,$464 ,2014
NC,$15 ,$350 ,2014
ND,$43 ,$570 ,2014
NE,$70 ,$372 ,2014
NH,$32 ,$427 ,2014
NJ,$87 ,$636 ,2014
NM,$75 ,$406 ,2014
NV,$16 ,$407 ,2014
NY,$68 ,$405 ,2014
OH,$116 ,$418 ,2014
OK,$16 ,$440 ,2014
OR,$126 ,$538 ,2014
PA,$70 ,$573 ,2014
PR,$7 ,$133 ,2014
RI,$44 ,$566 ,2014
SC,$42 ,$326 ,2014
SD,$28 ,$345 ,2014
TN,$30 ,$275 ,2014
TX,$63 ,$454 ,2014
UT,$26 ,$487 ,2014
VA,$54 ,$378 ,2014
VI,$33 ,$468 ,2014
VT,$58 ,$425 ,2014
WA,$148 ,$624 ,2014
WI,$54 ,$370 ,2014
WV,$24 ,$424 ,2014
WY,$34 ,$471 ,2014
AK,$56 ,$370 ,2015
AL,$45 ,$265 ,2015
AR,$81 ,$451 ,2015
AZ,$126 ,$240 ,2015
CA,$40 ,$450 ,2015
CO,$25 ,$484 ,2015
CT,$15 ,$594 ,2015
DC,$50 ,$359 ,2015
DE,$20 ,$330 ,2015
FL,$32 ,$275 ,2015
GA,$44 ,$330 ,2015
HI,$5 ,$551 ,2015
IA,$62 ,$416 ,2015
ID,$72 ,$398 ,2015
IL,$51 ,$426 ,2015
IN,$37 ,$390 ,2015
KS,$118 ,$474 ,2015
KY,$39 ,$415 ,2015
LA,$10 ,$247 ,2015
MA,$33 ,$698 ,2015
MD,$50 ,$430 ,2015
ME,$67 ,$386 ,2015
MI,$117 ,$362 ,2015
MN,$25 ,$412 ,2015
MO,$35 ,$320 ,2015
MS,$30 ,$235 ,2015
MT,$134 ,$471 ,2015
NC,$15 ,$350 ,2015
ND,$43 ,$594 ,2015
NE,$70 ,$380 ,2015
NH,$32 ,$427 ,2015
NJ,$99 ,$646 ,2015
NM,$77 ,$412 ,2015
NV,$16 ,$412 ,2015
NY,$100 ,$420 ,2015
OH,$118 ,$424 ,2015
OK,$16 ,$490 ,2015
OR,$128 ,$549 ,2015
PA,$70 ,$573 ,2015
PR,$7 ,$133 ,2015
RI,$46 ,$566 ,2015
SC,$42 ,$326 ,2015
SD,$28 ,$352 ,2015
TN,$30 ,$275 ,2015
TX,$64 ,$465 ,2015
UT,$26 ,$496 ,2015
VA,$60 ,$378 ,2015
VI,$33 ,$477 ,2015
VT,$73 ,$436 ,2015
WA,$151 ,$637 ,2015
WI,$54 ,$370 ,2015
WV,$24 ,$424 ,2015
WY,$34 ,$475 ,2015
AK,$56 ,$370 ,2016
AL,$45 ,$265 ,2016
AR,$81 ,$451 ,2016
AZ,$126 ,$240 ,2016
CA,$40 ,$450 ,2016
CO,$25 ,$502 ,2016
CT,$15 ,$598 ,2016
DC,$50 ,$359 ,2016
DE,$20 ,$330 ,2016
FL,$32 ,$275 ,2016
GA,$44 ,$330 ,2016
HI,$5 ,$569 ,2016
IA,$64 ,$431 ,2016
ID,$72 ,$410 ,2016
IL,$51 ,$437 ,2016
IN,$37 ,$390 ,2016
KS,$118 ,$474 ,2016
KY,$39 ,$415 ,2016
LA,$10 ,$247 ,2016
MA,$37 ,$722 ,2016
MD,$50 ,$430 ,2016
ME,$69 ,$397 ,2016
MI,$117 ,$362 ,2016
MN,$26 ,$424 ,2016
MO,$35 ,$320 ,2016
MS,$30 ,$235 ,2016
MT,$139 ,$487 ,2016
NC,$15 ,$350 ,2016
ND,$43 ,$633 ,2016
NE,$70 ,$392 ,2016
NH,$32 ,$427 ,2016
NJ,$100 ,$657 ,2016
NM,$79 ,$423 ,2016
NV,$16 ,$417 ,2016
NY,$100 ,$420 ,2016
OH,$118 ,$435 ,2016
OK,$16 ,$505 ,2016
OR,$128 ,$549 ,2016
PA,$70 ,$573 ,2016
PR,$7 ,$133 ,2016
RI,$49 ,$566 ,2016
SC,$42 ,$326 ,2016
SD,$28 ,$366 ,2016
TN,$30 ,$275 ,2016
TX,$65 ,$479 ,2016
UT,$28 ,$509 ,2016
VA,$60 ,$378 ,2016
VI,$33 ,$477 ,2016
VT,$74 ,$446 ,2016
WA,$158 ,$664 ,2016
WI,$54 ,$370 ,2016
WV,$24 ,$424 ,2016
WY,$35 ,$491 ,2016
AK,$56 ,$370 ,2017
AL,$45 ,$265 ,2017
AR,$81 ,$451 ,2017
AZ,$126 ,$240 ,2017
CA,$40 ,$450 ,2017
CO,$25 ,$516 ,2017
CT,$15 ,$616 ,2017
DC,$50 ,$425 ,2017
DE,$20 ,$330 ,2017
FL,$32 ,$275 ,2017
GA,$44 ,$330 ,2017
HI,$5 ,$592 ,2017
IA,$66 ,$447 ,2017
ID,$72 ,$410 ,2017
IL,$51 ,$449 ,2017
IN,$37 ,$390 ,2017
KS,$118 ,$474 ,2017
KY,$39 ,$415 ,2017
LA,$10 ,$247 ,2017
MA,$37 ,$742 ,2017
MD,$50 ,$430 ,2017
ME,$71 ,$410 ,2017
MI,$141 ,$362 ,2017
MN,$26 ,$440 ,2017
MO,$35 ,$320 ,2017
MS,$30 ,$235 ,2017
MT,$151 ,$510 ,2017
NC,$15 ,$350 ,2017
ND,$43 ,$630 ,2017
NE,$70 ,$392 ,2017
NH,$32 ,$427 ,2017
NJ,$100 ,$677 ,2017
NM,$79 ,$425 ,2017
NV,$16 ,$426 ,2017
NY,$100 ,$425 ,2017
OH,$118 ,$435 ,2017
OK,$16 ,$510 ,2017
OR,$138 ,$590 ,2017
PA,$68 ,$561 ,2017
PR,$7 ,$133 ,2017
RI,$49 ,$566 ,2017
SC,$42 ,$326 ,2017
SD,$28 ,$380 ,2017
TN,$30 ,$275 ,2017
TX,$66 ,$493 ,2017
UT,$29 ,$524 ,2017
VA,$60 ,$378 ,2017
VI,$33 ,$480 ,2017
VT,$77 ,$458 ,2017
WA,$162 ,$681 ,2017
WI,$54 ,$370 ,2017
WV,$24 ,$424 ,2017
WY,$33 ,$489 ,2017
AK,$56 ,$370 ,2018
AL,$45 ,$265 ,2018
AR,$81 ,$451 ,2018
AZ,$164 ,$240 ,2018
CA,$40 ,$450 ,2018
CO,$25 ,$520 ,2018
CT,$15 ,$613 ,2018
DC,$50 ,$432 ,2018
DE,$20 ,$330 ,2018
FL,$32 ,$275 ,2018
GA,$44 ,$330 ,2018
HI,$5 ,$619 ,2018
IA,$68 ,$455 ,2018
ID,$72 ,$405 ,2018
IL,$51 ,$458 ,2018
IN,$37 ,$390 ,2018
KS,$118 ,$474 ,2018
KY,$39 ,$448 ,2018
LA,$10 ,$247 ,2018
MA,$42 ,$769 ,2018
MD,$50 ,$430 ,2018
ME,$73 ,$418 ,2018
MI,$147 ,$362 ,2018
MN,$26 ,$447 ,2018
MO,$35 ,$320 ,2018
MS,$30 ,$235 ,2018
MT,$153 ,$518 ,2018
NC,$15 ,$350 ,2018
ND,$43 ,$606 ,2018
NE,$70 ,$414 ,2018
NH,$32 ,$427 ,2018
NJ,$100 ,$681 ,2018
NM,$81 ,$433 ,2018
NV,$16 ,$439 ,2018
NY,$100 ,$430 ,2018
OH,$128 ,$443 ,2018
OK,$16 ,$506 ,2018
OR,$141 ,$604 ,2018
PA,$68 ,$561 ,2018
PR,$7 ,$133 ,2018
RI,$51 ,$566 ,2018
SC,$42 ,$326 ,2018
SD,$28 ,$390 ,2018
TN,$30 ,$275 ,2018
TX,$67 ,$494 ,2018
UT,$30 ,$543 ,2018
VA,$60 ,$378 ,2018
VI,$33 ,$505 ,2018
VT,$77 ,$466 ,2018
WA,$169 ,$713 ,2018
WI,$54 ,$370 ,2018
WV,$24 ,$424 ,2018
WY,$35 ,$475 ,2018
AK,$56 ,$370 ,2019
AL,$45 ,$265 ,2019
AR,$81 ,$451 ,2019
AZ,$172 ,$240 ,2019
CA,$40 ,$450 ,2019
CO,$25 ,$542 ,2019
CT,$15 ,$631 ,2019
DC,$50 ,$438 ,2019
DE,$20 ,$330 ,2019
FL,$32 ,$275 ,2019
GA,$44 ,$330 ,2019
HI,$5 ,$630 ,2019
IA,$70 ,$467 ,2019
ID,$72 ,$414 ,2019
IL,$51 ,$471 ,2019
IN,$37 ,$390 ,2019
KS,$118 ,$474 ,2019
KY,$39 ,$502 ,2019
LA,$10 ,$247 ,2019
MA,$45 ,$795 ,2019
MD,$50 ,$430 ,2019
ME,$75 ,$431 ,2019
MI,$147 ,$362 ,2019
MN,$28 ,$462 ,2019
MO,$35 ,$320 ,2019
MS,$30 ,$235 ,2019
MT,$150 ,$527 ,2019
NC,$15 ,$350 ,2019
ND,$43 ,$595 ,2019
NE,$70 ,$426 ,2019
NH,$32 ,$427 ,2019
NJ,$103 ,$696 ,2019
NM,$82 ,$442 ,2019
NV,$16 ,$450 ,2019
NY,$100 ,$450 ,2019
OH,$130 ,$443 ,2019
OK,$16 ,$520 ,2019
OR,$146 ,$624 ,2019
PA,$68 ,$561 ,2019
PR,$7 ,$133 ,2019
RI,$53 ,$576 ,2019
SC,$42 ,$326 ,2019
SD,$28 ,$402 ,2019
TN,$30 ,$275 ,2019
TX,$67 ,$494 ,2019
UT,$31 ,$560 ,2019
VA,$60 ,$378 ,2019
VI,$33 ,$552 ,2019
VT,$68 ,$498 ,2019
WA,$178 ,$749 ,2019
WI,$54 ,$370 ,2019
WV,$24 ,$424 ,2019
WY,$35 ,$489 ,2019
AK,$56 ,$370 ,2020
AL,$45 ,$275 ,2020
AR,$81 ,$451 ,2020
AZ,$187 ,$240 ,2020
CA,$40 ,$450 ,2020
CO,$25 ,$561 ,2020
CT,$15 ,$649 ,2020
DC,$50 ,$444 ,2020
DE,$20 ,$400 ,2020
FL,$32 ,$275 ,2020
GA,$55 ,$365 ,2020
HI,$5 ,$648 ,2020
IA,$72 ,$481 ,2020
ID,$72 ,$448 ,2020
IL,$51 ,$484 ,2020
IN,$37 ,$390 ,2020
KS,$122 ,$488 ,2020
KY,$39 ,$552 ,2020
LA,$10 ,$247 ,2020
MA,$98 ,$823 ,2020
MD,$50 ,$430 ,2020
ME,$77 ,$445 ,2020
MI,$150 ,$362 ,2020
MN,$28 ,$462 ,2020
MO,$35 ,$320 ,2020
MS,$30 ,$235 ,2020
MT,$163 ,$552 ,2020
NC,$15 ,$350 ,2020
ND,$43 ,$618 ,2020
NE,$70 ,$440 ,2020
NH,$32 ,$427 ,2020
NJ,$120 ,$713 ,2020
NM,$86 ,$461 ,2020
NV,$16 ,$469 ,2020
NY,$104 ,$504 ,2020
OH,$135 ,$480 ,2020
OK,$16 ,$539 ,2020
OR,$151 ,$648 ,2020
PA,$68 ,$572 ,2020
PR,$33 ,$190 ,2020
RI,$53 ,$586 ,2020
SC,$42 ,$326 ,2020
SD,$28 ,$414 ,2020
TN,$30 ,$275 ,2020
TX,$69 ,$521 ,2020
UT,$32 ,$580 ,2020
VA,$60 ,$378 ,2020
VI,$33 ,$602 ,2020
VT,$72 ,$513 ,2020
WA,$188 ,$790 ,2020
WI,$54 ,$370 ,2020
WV,$24 ,$424 ,2020
WY,$36 ,$508 ,2020
AK,$56 ,$370 ,2021
AL,$45 ,$275 ,2021
AR,$81 ,$451 ,2021
AZ,$190 ,$240 ,2021
CA,$40 ,$450 ,2021
CO,$25 ,$590 ,2021
CT,$15 ,$667 ,2021
DC,$50 ,$444 ,2021
DE,$20 ,$400 ,2021
FL,$32 ,$275 ,2021
GA,$55 ,$365 ,2021
HI,$5 ,$639 ,2021
IA,$73 ,$493 ,2021
ID,$72 ,$463 ,2021
IL,$51 ,$505 ,2021
IN,$37 ,$390 ,2021
KS,$125 ,$503 ,2021
KY,$39 ,$569 ,2021
LA,$10 ,$247 ,2021
MA,$103 ,$855 ,2021
MD,$50 ,$430 ,2021
ME,$80 ,$462 ,2021
MI,$150 ,$362 ,2021
MN,$29 ,$491 ,2021
MO,$35 ,$320 ,2021
MS,$30 ,$235 ,2021
MT,$169 ,$572 ,2021
NC,$15 ,$350 ,2021
ND,$43 ,$640 ,2021
NE,$70 ,$456 ,2021
NH,$100 ,$427 ,2021
NJ,$132 ,$731 ,2021
NM,$90 ,$484 ,2021
NV,$16 ,$483 ,2021
NY,$108 ,$504 ,2021
OH,$140 ,$498 ,2021
OK,$16 ,$461 ,2021
OR,$157 ,$673 ,2021
PA,$68 ,$583 ,2021
PR,$60 ,$240 ,2021
RI,$59 ,$599 ,2021
SC,$42 ,$326 ,2021
SD,$28 ,$428 ,2021
TN,$30 ,$275 ,2021
TX,$70 ,$535 ,2021
UT,$35 ,$617 ,2021
VA,$60 ,$378 ,2021
VI,$33 ,$677 ,2021
VT,$74 ,$531 ,2021
WA,$201 ,$844 ,2021
WI,$54 ,$370 ,2021
WV,$24 ,$424 ,2021
WY,$38 ,$526 ,2021
AK,$56 ,$370 ,2022
AL,$45 ,$275 ,2022
AR,$81 ,$451 ,2022
AZ,$200 ,$240 ,2022
CA,$40 ,$450 ,2022
CO,$25 ,$636 ,2022
CT,$15 ,$685 ,2022
DC,$50 ,$444 ,2022
DE,$20 ,$400 ,2022
FL,$32 ,$275 ,2022
GA,$55 ,$365 ,2022
HI,$5 ,$695 ,2022
IA,$79 ,$531 ,2022
ID,$72 ,$499 ,2022
IL,$51 ,$542 ,2022
IN,$37 ,$390 ,2022
KS,$135 ,$540 ,2022
KY,$39 ,$569 ,2022
LA,$10 ,$275 ,2022
MA,$55 ,$974 ,2022
MD,$50 ,$430 ,2022
ME,$89 ,$511 ,2022
MI,$157 ,$362 ,2022
MN,$31 ,$529 ,2022
MO,$35 ,$320 ,2022
MS,$30 ,$235 ,2022
MT,$183 ,$618 ,2022
NC,$15 ,$350 ,2022
ND,$43 ,$657 ,2022
NE,$70 ,$490 ,2022
NH,$32 ,$427 ,2022
NJ,$144 ,$804 ,2022
NM,$96 ,$514 ,2022
NV,$16 ,$533 ,2022
NY,$116 ,$504 ,2022
OH,$149 ,$530 ,2022
OK,$16 ,$476 ,2022
OR,$171 ,$733 ,2022
PA,$68 ,$594 ,2022
PR,$60 ,$240 ,2022
RI,$62 ,$661 ,2022
SC,$42 ,$326 ,2022
SD,$28 ,$466 ,2022
TN,$30 ,$275 ,2022
TX,$71 ,$549 ,2022
UT,$38 ,$661 ,2022
VA,$60 ,$378 ,2022
VI,$33 ,$642 ,2022
VT,$75 ,$583 ,2022
WA,$295 ,$929 ,2022
WI,$54 ,$370 ,2022
WV,$24 ,$424 ,2022
WY,$38 ,$533 ,2022
AK,$56 ,$370 ,2023
AL,$45 ,$275 ,2023
AR,$81 ,$451 ,2023
AZ,$216 ,$320 ,2023
CA,$40 ,$450 ,2023
CO,$25 ,$675 ,2023
CT,$15 ,$703 ,2023
DC,$50 ,$444 ,2023
DE,$20 ,$400 ,2023
FL,$32 ,$275 ,2023
GA,$55 ,$365 ,2023
HI,$5 ,$763 ,2023
IA,$82 ,$551 ,2023
ID,$72 ,$532 ,2023
IL,$51 ,$578 ,2023
IN,$37 ,$390 ,2023
KS,$140 ,$560 ,2023
KY,$39 ,$626 ,2023
LA,$35 ,$275 ,2023
MA,$58 ,"$1,015 ",2023
MD,$50 ,$430 ,2023
ME,$94 ,$538 ,2023
MI,$160 ,$362 ,2023
MN,$33 ,$552 ,2023
MO,$35 ,$320 ,2023
MS,$30 ,$235 ,2023
MT,$194 ,$657 ,2023
NC,$15 ,$350 ,2023
ND,$43 ,$673 ,2023
NE,$70 ,$514 ,2023
NH,$32 ,$427 ,2023
NJ,$156 ,$830 ,2023
NM,$101 ,$542 ,2023
NV,$16 ,$562 ,2023
NY,$124 ,$504 ,2023
OH,$157 ,$561 ,2023
OK,$16 ,$493 ,2023
OR,$183 ,$783 ,2023
PA,$68 ,$605 ,2023
PR,$60 ,$240 ,2023
RI,$66 ,$680 ,2023
SC,$42 ,$326 ,2023
SD,$28 ,$487 ,2023
TN,$30 ,$275 ,2023
TX,$72 ,$563 ,2023
UT,$41 ,$712 ,2023
VA,$60 ,$378 ,2023
VI,$33 ,$629 ,2023
VT,$80 ,$668 ,2023
WA,$317 ,$999 ,2023
WI,$54 ,$370 ,2023
WV,$24 ,$630 ,2023
WY,$40 ,$560 ,2023
AK,56,370,2024
AL,45,275,2024
AR,81,451,2024
AZ,224,320,2024
CA,40,450,2024
CO,25,710,2024
CT,40,721,2024
DC,50,444,2024
DE,20,450,2024
FL,32,275,2024
GA,55,365,2024
HI,5,796,2024
IA,86,582,2024
ID,72,568,2024
IL,51,593,2024
IN,37,390,2024
KS,147,589,2024
KY,39,665,2024
LA,35,275,2024
MA,60,1033,2024
MD,50,430,2024
ME,100,573,2024
MI,164,362,2024
MN,34,574,2024
MO,35,320,2024
MS,30,235,2024
MT,207,698,2024
NC,15,350,2024
ND,43,748,2024
NE,70,546,2024
NH,32,427,2024
NJ,169,854,2024
NM,107,577,2024
NV,16,585,2024
NY,132,504,2024
OH,157,561,2024
OK,16,519,2024
OR,190,812,2024
PA,68,605,2024
PR,60,240,2024
RI,71,705,2024
SC,42,326,2024
SD,28,514,2024
TN,55,325,2024
TX,73,577,2024
UT,44,746,2024
VA,60,378,2024
VI,33,645,2024
VT,86,705,2024
WA,323,1019,2024
WI,54,370,2024
WV,24,662,2024
WY,43,595,2024
AK,56,370,2025
AL,45,275,2025
AR,81,451,2025
AZ,224,320,2025
CA,40,450,2025
CO,25,735,2025
CT,42,721,2025
DC,50,444,2025
DE,20,450,2025
FL,32,275,2025
GA,55,365,2025
HI,5,835,2025
IA,90,602,2025
ID,72,590,2025
IL,51,605,2025
IN,37,390,2025
KS,153,612,2025
KY,39,694,2025
LA,35,275,2025
MA,60,1051,2025
MD,50,430,2025
ME,104,595,2025
MI,167,446,2025
MN,36,589,2025
MO,35,320,2025
MS,30,235,2025
MT,217,732,2025
NC,15,350,2025
ND,43,786,2025
NE,70,564,2025
NH,32,427,2025
NJ,181,875,2025
NM,111,598,2025
NV,16,604,2025
NY,136,504,2025
OH,169,600,2025
OK,16,541,2025
OR,196,836,2025
PA,68,605,2025
PR,60,240,2025
RI,77,723,2025
SC,42,326,2025
SD,28,532,2025
TN,55,325,2025
TX,74,591,2025
UT,45,777,2025
VA,60,378,2025
VI,33,648,2025
VT,90,729,2025
WA,342,1079,2025
WI,54,370,2025
WV,24,662,2025
WY,45,624,2025
